E_nu,Te_center,sigma_e,sigma_x
9.016199999999999770e-01,3.740000000000000213e+00,8.107518796721823413e-62,1.868806604429132042e-62
9.203999999999999959e-01,3.740000000000000213e+00,2.355201630460532667e-61,5.388311563138299544e-62
9.391899999999999693e-01,3.740000000000000213e+00,6.595455928858103353e-61,1.498005728001727129e-61
9.579699999999999882e-01,3.740000000000000213e+00,1.781476696503817080e-60,4.017794447858651791e-61
9.767500000000000071e-01,3.740000000000000213e+00,4.651102909922966645e-60,1.041817226152307759e-60
9.955399999999999805e-01,3.740000000000000213e+00,1.176052784881302862e-59,2.616821911083855029e-60
1.014299999999999979e+00,3.740000000000000213e+00,2.878504003158797219e-59,6.363735356714242753e-60
1.033099999999999907e+00,3.740000000000000213e+00,6.851644288794633977e-59,1.505255924104285699e-59
1.051900000000000057e+00,3.740000000000000213e+00,1.584958375540765918e-58,3.460818560557482235e-59
1.070699999999999985e+00,3.740000000000000213e+00,3.567450127676915179e-58,7.743484310309608258e-59
1.089499999999999913e+00,3.740000000000000213e+00,7.821863507099311408e-58,1.688011891940681288e-58
1.108200000000000074e+00,3.740000000000000213e+00,1.665779821328318482e-57,3.574776862911261831e-58
1.127000000000000002e+00,3.740000000000000213e+00,3.477250164185165130e-57,7.421369393266498849e-58
1.145799999999999930e+00,3.740000000000000213e+00,7.092597883426994195e-57,1.505676408169538707e-57
1.164600000000000080e+00,3.740000000000000213e+00,1.414911131254200815e-56,2.988083650596083233e-57
1.183400000000000007e+00,3.740000000000000213e+00,2.763064066411619104e-56,5.805621094928660739e-57
1.202199999999999935e+00,3.740000000000000213e+00,5.286345707571945990e-56,1.105254250697271109e-56
1.220900000000000096e+00,3.740000000000000213e+00,9.884141347011480822e-56,2.056639881238965539e-56
1.239700000000000024e+00,3.740000000000000213e+00,1.819604562820107809e-55,3.768326670378429975e-56
1.258499999999999952e+00,3.740000000000000213e+00,3.289340591069417352e-55,6.780810745678703957e-56
1.277300000000000102e+00,3.740000000000000213e+00,5.842980923466292638e-55,1.199101092477241969e-55
