E,flux_spectrum,lambda_B,lambda_hep
9.0913,524574.8216499999,0.09977378899999999,0.096755
9.1101,522429.5589900001,0.09936510300000002,0.096798
9.1289,520261.44307000004,0.098952067,0.096839
9.1477,518093.31138999993,0.09853903099999999,0.096878
9.1665,515925.17183000006,0.09812599500000001,0.096916
9.1852,513768.5586399999,0.09771515599999998,0.096953
9.204,511590.5254399998,0.09730023999999997,0.096988
9.2228,509375.95748000004,0.096878368,0.097021
9.2416,507161.38951999997,0.096456496,0.097054
9.2604,504946.7979199999,0.09603462399999999,0.097084
9.2792,502732.1984400001,0.09561275200000002,0.097113
9.2979,500529.37208,0.095193124,0.097141
9.3167,498275.29520999995,0.09476373699999999,0.097167
9.3355,496016.24921000004,0.09433340500000001,0.097192
9.3543,493757.18745,0.093903073,0.097215
9.3731,491498.11780999997,0.09347274099999998,0.097237
9.3919,489239.04029000003,0.093042409,0.097258
9.4106,486969.6963799999,0.09261012599999999,0.097276
9.4294,484671.11522000015,0.09217227400000003,0.097294
9.4482,482372.51830000005,0.09173442200000001,0.09731
9.467,480073.90562,0.09129657,0.097324
9.4858,477775.28506000014,0.09085871800000002,0.097337
9.5046,475467.47962000006,0.090419118,0.097349
9.5234,473131.3294199999,0.08997412199999999,0.097359
9.5421,470807.5902100001,0.08953149300000002,0.097367
9.5609,468471.41637,0.089086497,0.097374
9.5797,466135.23464999994,0.08864150099999998,0.09738
9.5985,463799.03717,0.08819650500000001,0.097384
9.6173,461431.03517999995,0.08774545399999999,0.097386
9.6361,459060.2690599999,0.08729387799999998,0.097387
9.6548,456702.10556,0.086844704,0.097387
9.6736,454331.31579999987,0.08639312799999997,0.097385
9.6924,451960.51816000004,0.085941552,0.097382
9.7112,449572.65275999997,0.085486728,0.097377
9.73,447173.2084799999,0.08502969999999999,0.097371
9.7488,444773.7484400001,0.08457267200000002,0.097363
9.7675,442387.04326999997,0.084118075,0.097354
9.7863,439987.55959,0.083661047,0.097343
9.8051,437580.57103000017,0.08320259100000003,0.097331
9.8239,435153.4277100001,0.08274029900000002,0.097317
9.8427,432726.27651000005,0.082278007,0.097302
9.8615,430299.10955000017,0.08181571500000002,0.097285
9.8802,427884.84446000005,0.081355882,0.097267
9.899,425457.6617400001,0.08089359000000003,0.097248
9.9178,423008.9697600001,0.08042720400000002,0.097227
9.9366,420559.05452,0.079960588,0.097204
9.9554,418109.13140000013,0.07949397200000002,0.09718
9.9742,415659.19252000004,0.079027356,0.097154
9.9929,413222.28413999995,0.07856322199999999,0.097128
10.012,410720.6301199999,0.07808675999999999,0.097099
10.031,408224.6487199999,0.07761137999999998,0.097069
10.049,405860.01444000006,0.07716102000000001,0.097038
10.068,403364.00940000004,0.07668564000000001,0.097005
10.087,400867.99648,0.07621026,0.096971
10.106,398367.2428,0.07573398,0.096935
10.124,395988.37835999986,0.07528091999999997,0.096897
10.143,393477.3714199998,0.07480268999999996,0.096859
10.162,390966.3408399998,0.07432445999999997,0.096818
10.181,388455.31026,0.07384623,0.096777
10.2,385944.26391999994,0.07336799999999999,0.096734
10.218,383552.1143199999,0.07291241999999998,0.096689
10.237,381027.07933999994,0.07243152999999998,0.096643
10.256,378502.02859999996,0.07195064,0.096595
10.275,375976.96998,0.07146975,0.096546
10.293,373584.78098000016,0.07101417000000003,0.096496
10.312,371054.6587200001,0.07053232000000002,0.096444
10.331,368521.5885800001,0.07004991000000002,0.096391
10.35,365988.5026800001,0.06956750000000002,0.096336
10.369,363455.4010200001,0.06908509000000002,0.096279
10.387,361055.59686,0.06862807,0.096222
10.406,358520.89655999996,0.06814535999999999,0.096162
10.425,355982.78375999996,0.06766199999999999,0.096102
10.444,353444.6551999999,0.06717863999999998,0.09604
10.463,350906.51088000013,0.06669528000000002,0.095976
10.481,348501.91868000006,0.06623736000000001,0.095911
10.5,345963.75860000006,0.065754,0.095845
10.519,343424.58526,0.06527045000000001,0.095777
10.538,340885.39616,0.0647869,0.095707
