dm2,tan2theta,chi2
1.668100537200059254e-05,1.000000000000000000e+00,1.071342271794336966e+03
2.154434690031881982e-05,9.999999999999999167e-02,9.038086501435781202e+02
2.154434690031881982e-05,1.291549665014883885e-01,6.927789733953947007e+02
2.154434690031881982e-05,1.668100537200058742e-01,4.745106803545599519e+02
2.154434690031881982e-05,2.154434690031883370e-01,2.775079344730934849e+02
2.154434690031881982e-05,2.782559402207124277e-01,1.017972904638961467e+02
2.154434690031881982e-05,3.593813663804627523e-01,2.394055548282101853e+01
2.154434690031881982e-05,4.641588833612778631e-01,3.838239726034026944e+01
2.154434690031881982e-05,5.994842503189408145e-01,1.963288972274853279e+02
2.154434690031881982e-05,7.742636826811268858e-01,5.310136471721928046e+02
2.154434690031881982e-05,1.000000000000000000e+00,1.071898012698995672e+03
2.782559402207125638e-05,9.999999999999999167e-02,5.654824884972498467e+02
2.782559402207125638e-05,1.291549665014883885e-01,4.926489374932672263e+02
2.782559402207125638e-05,1.668100537200058742e-01,3.019360802904594721e+02
2.782559402207125638e-05,2.154434690031883370e-01,1.647707305457929294e+02
2.782559402207125638e-05,2.782559402207124277e-01,5.153060821997025442e+01
2.782559402207125638e-05,3.593813663804627523e-01,1.917464916548735232e+01
2.782559402207125638e-05,4.641588833612778631e-01,7.259722557335149418e+01
2.782559402207125638e-05,5.994842503189408145e-01,2.466863163950359308e+02
2.782559402207125638e-05,7.742636826811268858e-01,5.718886097001936832e+02
2.782559402207125638e-05,1.000000000000000000e+00,1.071593749084066076e+03
3.593813663804625562e-05,9.999999999999999167e-02,2.994686009840319230e+02
3.593813663804625562e-05,1.291549665014883885e-01,2.402051975644478716e+02
3.593813663804625562e-05,1.668100537200058742e-01,1.345122468785883143e+02
3.593813663804625562e-05,2.154434690031883370e-01,6.405794317555421458e+01
3.593813663804625562e-05,2.782559402207124277e-01,2.454774072318849321e+01
3.593813663804625562e-05,3.593813663804627523e-01,4.626726853461583744e+01
3.593813663804625562e-05,4.641588833612778631e-01,1.379761327473660231e+02
3.593813663804625562e-05,5.994842503189408145e-01,3.249410312348309731e+02
3.593813663804625562e-05,7.742636826811268858e-01,6.276030738921194825e+02
3.593813663804625562e-05,1.000000000000000000e+00,1.071260342052715487e+03
4.641588833612782467e-05,9.999999999999999167e-02,1.355343539563068020e+02
4.641588833612782467e-05,1.291549665014883885e-01,7.042830925551196231e+01
4.641588833612782467e-05,1.668100537200058742e-01,3.824886782804575347e+01
4.641588833612782467e-05,2.154434690031883370e-01,3.412246691325345438e+01
4.641588833612782467e-05,2.782559402207124277e-01,5.929315078235239156e+01
4.641588833612782467e-05,3.593813663804627523e-01,1.318391851146795375e+02
4.641588833612782467e-05,4.641588833612778631e-01,2.491368490109470599e+02
4.641588833612782467e-05,5.994842503189408145e-01,4.321889071306333108e+02
4.641588833612782467e-05,7.742636826811268858e-01,6.981003291381379086e+02
4.641588833612782467e-05,1.000000000000000000e+00,1.071805999247027557e+03
5.994842503189408905e-05,9.999999999999999167e-02,4.121649347863473878e+01
5.994842503189408905e-05,1.291549665014883885e-01,4.992070229139255133e+01
5.994842503189408905e-05,1.668100537200058742e-01,7.707738357930017514e+01
5.994842503189408905e-05,2.154434690031883370e-01,1.283505855996023399e+02
5.994842503189408905e-05,2.782559402207124277e-01,1.950921333735624330e+02
5.994842503189408905e-05,3.593813663804627523e-01,2.873949664992729822e+02
5.994842503189408905e-05,4.641588833612778631e-01,4.090439714088184360e+02
5.994842503189408905e-05,5.994842503189408145e-01,5.675861027756839121e+02
5.994842503189408905e-05,7.742636826811268858e-01,7.810022289805639275e+02
5.994842503189408905e-05,1.000000000000000000e+00,1.071621030126916139e+03
7.742636826811276894e-05,9.999999999999999167e-02,1.672140903732449999e+02
7.742636826811276894e-05,1.291549665014883885e-01,2.106338010187996588e+02
7.742636826811276894e-05,1.668100537200058742e-01,2.767355610232003755e+02
7.742636826811276894e-05,2.154434690031883370e-01,3.431122574366943923e+02
7.742636826811276894e-05,2.782559402207124277e-01,4.207479372203059711e+02
7.742636826811276894e-05,3.593813663804627523e-01,5.051650808095498064e+02
7.742636826811276894e-05,4.641588833612778631e-01,6.021020277690438434e+02
7.742636826811276894e-05,5.994842503189408145e-01,7.177574583980976968e+02
7.742636826811276894e-05,7.742636826811268858e-01,8.677883665920526255e+02
7.742636826811276894e-05,1.000000000000000000e+00,1.071763738107273866e+03
9.999999999999999124e-05,9.999999999999999167e-02,4.464941821647037159e+02
9.999999999999999124e-05,1.291549665014883885e-01,4.999961748375408774e+02
9.999999999999999124e-05,1.668100537200058742e-01,5.685903454093908067e+02
9.999999999999999124e-05,2.154434690031883370e-01,6.196852329363214267e+02
9.999999999999999124e-05,2.782559402207124277e-01,6.786938235972617122e+02
9.999999999999999124e-05,3.593813663804627523e-01,7.339199691526964671e+02
9.999999999999999124e-05,4.641588833612778631e-01,7.914474224761756886e+02
9.999999999999999124e-05,5.994842503189408145e-01,8.577518149820597273e+02
9.999999999999999124e-05,7.742636826811268858e-01,9.461298479168671065e+02
9.999999999999999124e-05,1.000000000000000000e+00,1.071657483106834434e+03
