# E_nu,Te,sigma_e,sigma_x
1.586206896551724199e+01,6.250000000000000000e+00,4.735183308881547377e-45,7.976604370517325331e-46
1.637931034482758719e+01,6.250000000000000000e+00,4.743226782533733695e-45,8.040833727875617000e-46
1.689655172413793238e+01,6.250000000000000000e+00,4.750884661640394315e-45,8.102683570505801498e-46
1.741379310344827758e+01,6.250000000000000000e+00,4.758182940611942404e-45,8.162232108861011419e-46
1.793103448275861922e+01,6.250000000000000000e+00,4.765155359958240618e-45,8.219592367767073979e-46
1.844827586206896797e+01,6.250000000000000000e+00,4.771819850073563298e-45,8.274823652896390785e-46
1.896551724137930961e+01,6.250000000000000000e+00,4.778182665390314921e-45,8.327997884079659659e-46
1.948275862068965836e+01,6.250000000000000000e+00,4.784258002892112561e-45,8.379185703361627168e-46
2.000000000000000000e+01,6.250000000000000000e+00,4.790033458726707397e-45,8.428461239459953318e-46
5.000000000000000000e+00,6.750000000000000000e+00,9.648358382858278156e-47,1.476372157552475707e-47
5.517241379310345195e+00,6.750000000000000000e+00,3.290005184984674665e-46,4.990336682601110843e-47
6.034482758620689502e+00,6.750000000000000000e+00,7.858746117102580825e-46,1.184089991358598869e-46
6.551724137931034697e+00,6.750000000000000000e+00,1.447628420651749046e-45,2.170733099895453241e-46
7.068965517241379004e+00,6.750000000000000000e+00,2.204404361235709662e-45,3.295682990226821420e-46
7.586206896551724199e+00,6.750000000000000000e+00,2.922970493534421584e-45,4.364840906580263994e-46
8.103448275862069394e+00,6.750000000000000000e+00,3.511419968090219274e-45,5.246926768400907770e-46
8.620689655172414589e+00,6.750000000000000000e+00,3.939663746251702036e-45,5.901083792493244022e-46
9.137931034482758008e+00,6.750000000000000000e+00,4.223676509587236991e-45,6.352304373677308955e-46
9.655172413793103203e+00,6.750000000000000000e+00,4.399429340760836815e-45,6.653118579914008487e-46
1.017241379310344840e+01,6.750000000000000000e+00,4.503563616228288648e-45,6.855904052476824222e-46
1.068965517241379359e+01,6.750000000000000000e+00,4.564580993320826444e-45,7.000682253375735234e-46
1.120689655172413879e+01,6.750000000000000000e+00,4.601433571817099534e-45,7.113527495654408101e-46
1.172413793103448398e+01,6.750000000000000000e+00,4.625426345744888940e-45,7.209574747842370922e-46
1.224137931034482918e+01,6.750000000000000000e+00,4.642775404955872287e-45,7.296819295736923732e-46
1.275862068965517260e+01,6.750000000000000000e+00,4.656690109334279067e-45,7.379137500220349283e-46
1.327586206896551779e+01,6.750000000000000000e+00,4.668750233129461020e-45,7.458248447670721883e-46
1.379310344827586299e+01,6.750000000000000000e+00,4.679707555522197376e-45,7.534832376172459445e-46
1.431034482758620818e+01,6.750000000000000000e+00,4.689914546463999043e-45,7.609113194350773412e-46
1.482758620689655160e+01,6.750000000000000000e+00,4.699537888775711497e-45,7.681138714700230389e-46
1.534482758620689680e+01,6.750000000000000000e+00,4.708665868366095096e-45,7.750910377296938640e-46
1.586206896551724199e+01,6.750000000000000000e+00,4.717343908691020947e-45,7.818420656013499721e-46
1.637931034482758719e+01,6.750000000000000000e+00,4.725620219870977998e-45,7.883700043601099691e-46
1.689655172413793238e+01,6.750000000000000000e+00,4.733515009580456882e-45,7.946769093332901752e-46
1.741379310344827758e+01,6.750000000000000000e+00,4.741056946728395681e-45,8.007671945435226958e-46
1.793103448275861922e+01,6.750000000000000000e+00,4.748259507590638611e-45,8.066458891330681004e-46
1.844827586206896797e+01,6.750000000000000000e+00,4.755147335433106518e-45,8.123197346527532570e-46
1.896551724137930961e+01,6.750000000000000000e+00,4.761739145030046888e-45,8.177955675483638314e-46
1.948275862068965836e+01,6.750000000000000000e+00,4.768052359261894982e-45,8.230829804028401372e-46
2.000000000000000000e+01,6.750000000000000000e+00,4.774149887781813948e-45,8.281891709433475572e-46
5.000000000000000000e+00,7.250000000000000000e+00,2.749908436099420656e-47,4.206119570899379150e-48
5.517241379310345195e+00,7.250000000000000000e+00,1.262199309495977698e-46,1.913043094266486069e-47
6.034482758620689502e+00,7.250000000000000000e+00,3.818548538981207487e-46,5.746046080484920639e-47
6.551724137931034697e+00,7.250000000000000000e+00,8.489406565397172994e-46,1.270442244713405430e-46
7.068965517241379004e+00,7.250000000000000000e+00,1.499789350142835776e-45,2.235611562537520641e-46
7.586206896551724199e+00,7.250000000000000000e+00,2.231902539761862434e-45,3.318939366694483060e-46
8.103448275862069394e+00,7.250000000000000000e+00,2.925693377568731496e-45,4.347004727943326076e-46
8.620689655172414589e+00,7.250000000000000000e+00,3.498124784962684410e-45,5.201459786337821931e-46
