energy,lambda
4.3954E+00,4.8253E-02
4.4142E+00,4.8544E-02
4.4330E+00,4.8834E-02
4.4517E+00,4.9125E-02
4.4705E+00,4.9415E-02
4.4893E+00,4.9705E-02
4.5081E+00,4.9994E-02
4.5269E+00,5.0284E-02
4.5457E+00,5.0573E-02
4.5644E+00,5.0862E-02
4.5832E+00,5.1151E-02
4.6020E+00,5.1439E-02
4.6208E+00,5.1727E-02
4.6396E+00,5.2015E-02
4.6584E+00,5.2303E-02
4.6771E+00,5.2590E-02
4.6959E+00,5.2877E-02
4.7147E+00,5.3164E-02
4.7335E+00,5.3450E-02
4.7523E+00,5.3736E-02
4.7711E+00,5.4022E-02
4.7899E+00,5.4307E-02
4.8086E+00,5.4592E-02
4.8274E+00,5.4877E-02
4.8462E+00,5.5161E-02
4.8650E+00,5.5445E-02
4.8838E+00,5.5729E-02
4.9026E+00,5.6012E-02
4.9213E+00,5.6295E-02
4.9401E+00,5.6577E-02
4.9589E+00,5.6859E-02
4.9777E+00,5.7140E-02
4.9965E+00,5.7421E-02
5.0153E+00,5.7702E-02
5.0340E+00,5.7982E-02
5.0528E+00,5.8262E-02
5.0716E+00,5.8541E-02
5.0904E+00,5.8819E-02
5.1092E+00,5.9098E-02
5.1280E+00,5.9375E-02
5.1467E+00,5.9653E-02
5.1655E+00,5.9929E-02
5.1843E+00,6.0205E-02
5.2031E+00,6.0481E-02
5.2219E+00,6.0756E-02
5.2407E+00,6.1031E-02
5.2594E+00,6.1305E-02
5.2782E+00,6.1578E-02
5.2970E+00,6.1851E-02
5.3158E+00,6.2123E-02
5.3346E+00,6.2395E-02
5.3534E+00,6.2666E-02
5.3721E+00,6.2936E-02
5.3909E+00,6.3206E-02
5.4097E+00,6.3476E-02
5.4285E+00,6.3744E-02
5.4473E+00,6.4012E-02
5.4661E+00,6.4280E-02
5.4848E+00,6.4546E-02
5.5036E+00,6.4812E-02
5.5224E+00,6.5078E-02
5.5412E+00,6.5343E-02
5.5600E+00,6.5607E-02
5.5788E+00,6.5870E-02
5.5976E+00,6.6133E-02
5.6163E+00,6.6395E-02
5.6351E+00,6.6656E-02
5.6539E+00,6.6917E-02
5.6727E+00,6.7176E-02
5.6915E+00,6.7436E-02
5.7103E+00,6.7694E-02
5.7290E+00,6.7952E-02
5.7478E+00,6.8209E-02
5.7666E+00,6.8465E-02
5.7854E+00,6.8720E-02
5.8042E+00,6.8975E-02
5.8230E+00,6.9229E-02
5.8417E+00,6.9482E-02
5.8605E+00,6.9734E-02
5.8793E+00,6.9985E-02
5.8981E+00,7.0236E-02
5.9169E+00,7.0486E-02
5.9357E+00,7.0735E-02
5.9544E+00,7.0983E-02
5.9732E+00,7.1231E-02
5.9920E+00,7.1477E-02
6.0108E+00,7.1723E-02
