E,lambda_eff,lambda_B,lambda_hep
1.84,0.035788274641324946,0.035822,0.011607021276595745
1.86,0.0363961427953843,0.0364304,0.011833553191489363
1.88,0.037005310946480366,0.0370401,0.012061382978723402
1.9,0.037614981575570965,0.0376503,0.012291491978609626
1.92,0.03822864933779421,0.0382645,0.012523542553191488
1.94,0.03884381560719908,0.0388802,0.012756021276595744
1.96,0.03946018286486224,0.0394971,0.012990409574468086
1.98,0.040077550300323,0.040115,0.013225925531914894
2.0,0.04069501982638711,0.040733,0.013463042553191489
2.02,0.041316586935323064,0.0413551,0.013702524064171124
2.04,0.0419391540957601,0.0419782,0.013943042553191488
2.06,0.04256252094597044,0.0426021,0.014184138297872342
2.08,0.04318658941413888,0.0432267,0.014427095744680853
2.1,0.04381065991216318,0.0438513,0.014671510638297872
2.12,0.044438127245390306,0.0444793,0.014917053191489366
2.14,0.045066198208667495,0.0451079,0.015165802139037432
2.16,0.04569486862074044,0.0457371,0.015414755319148939
2.18,0.046323639032829225,0.0463664,0.0156638085106383
2.2,0.04695261230745928,0.0469959,0.015915117021276598
2.22,0.04758428444418472,0.0476281,0.016168308510638302
2.24,0.04821625730633068,0.0482606,0.016422320855614975
2.26,0.04884853290180564,0.0488934,0.016678595744680846
2.28,0.04948060851151074,0.049526,0.016934680851063824
2.3,0.050112786500740296,0.0501587,0.017192574468085104
2.32,0.05074706313574485,0.0507935,0.01745159574468085
2.34,0.051381341341294816,0.0514283,0.01771174468085106
2.36,0.05201552125666497,0.052063,0.017973021276595745
2.38,0.052649204730601654,0.0526972,0.01823635294117647
2.4,0.053282988889756314,0.0533315,0.01850027659574468
2.42,0.0539186714350492,0.0539677,0.018764941489361704
2.44,0.05455405596871184,0.0546036,0.01903073404255319
2.46,0.05518904397090918,0.0552391,0.019298617021276592
2.48,0.0558231335952481,0.0558737,0.019566764705882356
2.5,0.05645742629304503,0.0565085,0.019837319148936168
2.52,0.057092817205196315,0.0571444,0.020107691489361704
2.54,0.05772771038426693,0.0577798,0.020379191489361702
2.56,0.05836170638735598,0.0584143,0.020651819148936167
2.58,0.05899450563228781,0.0590476,0.020925574468085108
2.6,0.05962780597078576,0.0596814,0.021200614973262033
2.62,0.060261707138783954,0.0603158,0.021476851063829787
2.64,0.06089461020043746,0.0609492,0.02175344680851064
2.66,0.06152651635873236,0.0615816,0.02203126595744681
2.68,0.0621568260048234,0.0622124,0.02230998936170213
2.7,0.06278783570573535,0.0628439,0.02258945212765958
2.72,0.06341874757110323,0.0634753,0.022870368983957227
2.74,0.06404846233947636,0.0641055,0.02315217021276596
2.76,0.0646769789374533,0.0647345,0.023434085106382976
2.78,0.06530330138497105,0.0653613,0.023718
2.8,0.06593082103513999,0.0659893,0.02400110638297872
2.82,0.06655764487928793,0.0666166,0.02428652406417112
2.84,0.06718307345842191,0.0672425,0.0245739414893617
2.86,0.06780680303117821,0.0678667,0.024860372340425527
2.88,0.06842803720444722,0.0684884,0.02514760638297872
2.9,0.0690510694115712,0.0691119,0.02543522872340425
2.92,0.06967260527836229,0.0697339,0.02572397872340425
2.94,0.07029254599317239,0.0703543,0.02601460962566845
2.96,0.07091068990226998,0.0709729,0.02630573404255319
