dm2,tan2theta,chi2
8.483428982440725232e-05,3.727593720314940073e-01,1.153606724608880185e+01
8.483428982440725232e-05,4.393970560760790400e-01,8.112593459934867468e+00
8.483428982440725232e-05,5.179474679231209633e-01,1.307045634969196080e+01
8.483428982440725232e-05,6.105402296585328292e-01,3.389152549403534920e+01
8.483428982440725232e-05,7.196856730011519376e-01,7.909932340308847643e+01
8.483428982440725232e-05,8.483428982440718302e-01,1.480179110070872071e+02
8.483428982440725232e-05,1.000000000000000000e+00,2.437035484913812695e+02
9.999999999999999124e-05,9.999999999999999167e-02,2.356299781798760762e+02
9.999999999999999124e-05,1.178768634793587178e-01,1.791591825030369023e+02
9.999999999999999124e-05,1.389495494373137463e-01,9.582035761432010190e+01
9.999999999999999124e-05,1.637893706954064166e-01,1.626726726729358745e+02
9.999999999999999124e-05,1.930697728883249975e-01,1.063769946495577585e+02
9.999999999999999124e-05,2.275845926074788195e-01,1.034140365633604546e+02
9.999999999999999124e-05,2.682695795279725903e-01,5.217494854411117444e+01
9.999999999999999124e-05,3.162277660168379412e-01,4.219926552664020392e+01
9.999999999999999124e-05,3.727593720314940073e-01,1.369913035891118724e+01
9.999999999999999124e-05,4.393970560760790400e-01,7.744393304808007805e+00
9.999999999999999124e-05,5.179474679231209633e-01,1.113560214569531226e+01
9.999999999999999124e-05,6.105402296585328292e-01,3.507996396741043554e+01
9.999999999999999124e-05,7.196856730011519376e-01,7.815344346637763806e+01
9.999999999999999124e-05,8.483428982440718302e-01,1.482302707193943831e+02
9.999999999999999124e-05,1.000000000000000000e+00,2.437472971833785778e+02
