dm2,tan2theta,chi2
1.668100537200059254e-05,7.742636826811268858e-01,4.462026771020226761e+02
1.668100537200059254e-05,1.000000000000000000e+00,1.070970771992755544e+03
2.154434690031881982e-05,9.999999999999999167e-02,1.473215447169661502e+03
2.154434690031881982e-05,1.291549665014883885e-01,1.235316316837386694e+03
2.154434690031881982e-05,1.668100537200058742e-01,9.329353180668437062e+02
2.154434690031881982e-05,2.154434690031883370e-01,6.330986871944246559e+02
2.154434690031881982e-05,2.782559402207124277e-01,3.152516330462049723e+02
2.154434690031881982e-05,3.593813663804627523e-01,1.103016601105457966e+02
2.154434690031881982e-05,4.641588833612778631e-01,1.474570023435419941e+01
2.154434690031881982e-05,5.994842503189408145e-01,1.052439004671863358e+02
2.154434690031881982e-05,7.742636826811268858e-01,4.463186576666565770e+02
2.154434690031881982e-05,1.000000000000000000e+00,1.071904218962335335e+03
2.782559402207125638e-05,9.999999999999999167e-02,1.295994384339697035e+03
2.782559402207125638e-05,1.291549665014883885e-01,1.248882514088229755e+03
2.782559402207125638e-05,1.668100537200058742e-01,9.190491480326944611e+02
2.782559402207125638e-05,2.154434690031883370e-01,6.408837630560840353e+02
2.782559402207125638e-05,2.782559402207124277e-01,3.264634426251828927e+02
2.782559402207125638e-05,3.593813663804627523e-01,1.093246944139752372e+02
2.782559402207125638e-05,4.641588833612778631e-01,1.476931321573403721e+01
2.782559402207125638e-05,5.994842503189408145e-01,1.045205074074889353e+02
2.782559402207125638e-05,7.742636826811268858e-01,4.474709241942829863e+02
2.782559402207125638e-05,1.000000000000000000e+00,1.071498563100813953e+03
3.593813663804625562e-05,9.999999999999999167e-02,1.258349032840616246e+03
3.593813663804625562e-05,1.291549665014883885e-01,1.168853694618094323e+03
3.593813663804625562e-05,1.668100537200058742e-01,8.997150942234208060e+02
3.593813663804625562e-05,2.154434690031883370e-01,6.195154866546719177e+02
3.593813663804625562e-05,2.782559402207124277e-01,3.312363829318458102e+02
3.593813663804625562e-05,3.593813663804627523e-01,1.077922130585076843e+02
3.593813663804625562e-05,4.641588833612778631e-01,1.427198442664295186e+01
3.593813663804625562e-05,5.994842503189408145e-01,1.072467839866456529e+02
