dm2,tan2theta,chi2
1.637893706954064388e-05,2.706034525503725474e-01,2.834628410389854380e+01
1.637893706954064388e-05,3.302174352670765312e-01,2.441484332766178156e+01
1.637893706954064388e-05,4.029643876552815307e-01,7.664147200208488719e+00
1.637893706954064388e-05,4.917375049777867324e-01,1.026405320612247607e+01
1.637893706954064388e-05,6.000673538641163596e-01,3.448214628479579602e+01
1.930697728883249591e-05,9.999999999999999167e-02,8.148685600406588492e+01
1.930697728883249591e-05,1.220300155651587587e-01,1.221347755397347044e+02
1.930697728883249591e-05,1.489132469883288623e-01,1.330127426623068629e+02
1.930697728883249591e-05,1.817188584784409922e-01,1.133899015834349768e+02
1.930697728883249591e-05,2.217515512860702975e-01,1.012776333944324136e+02
1.930697728883249591e-05,2.706034525503725474e-01,6.200692799343057970e+01
1.930697728883249591e-05,3.302174352670765312e-01,3.136175281665644476e+01
1.930697728883249591e-05,4.029643876552815307e-01,9.434322261154004963e+00
1.930697728883249591e-05,4.917375049777867324e-01,9.359947156725173301e+00
1.930697728883249591e-05,6.000673538641163596e-01,3.424734854801570805e+01
2.275845926074786477e-05,9.999999999999999167e-02,1.537988069164010483e+02
2.275845926074786477e-05,1.220300155651587587e-01,2.054891692786236774e+02
2.275845926074786477e-05,1.489132469883288623e-01,2.191910072623723522e+02
2.275845926074786477e-05,1.817188584784409922e-01,1.523163171778027163e+02
2.275845926074786477e-05,2.217515512860702975e-01,9.697304975204994548e+01
2.275845926074786477e-05,2.706034525503725474e-01,6.434132702746856580e+01
2.275845926074786477e-05,3.302174352670765312e-01,2.863406690276969613e+01
2.275845926074786477e-05,4.029643876552815307e-01,8.793939991523650690e+00
2.275845926074786477e-05,4.917375049777867324e-01,9.496592324426721632e+00
2.275845926074786477e-05,6.000673538641163596e-01,3.477681487575610930e+01
2.682695795279727390e-05,9.999999999999999167e-02,2.198566349343898878e+02
2.682695795279727390e-05,1.220300155651587587e-01,1.838364802562172144e+02
2.682695795279727390e-05,1.489132469883288623e-01,2.153842030935216201e+02
2.682695795279727390e-05,1.817188584784409922e-01,1.232286150865455454e+02
2.682695795279727390e-05,2.217515512860702975e-01,8.913776422092610119e+01
2.682695795279727390e-05,2.706034525503725474e-01,6.036772427012015640e+01
2.682695795279727390e-05,3.302174352670765312e-01,2.583255001910104198e+01
2.682695795279727390e-05,4.029643876552815307e-01,7.286693506122276176e+00
2.682695795279727390e-05,4.917375049777867324e-01,9.367199385447692705e+00
2.682695795279727390e-05,6.000673538641163596e-01,3.362012106695965485e+01
3.162277660168379530e-05,9.999999999999999167e-02,2.275569975245892920e+02
3.162277660168379530e-05,1.220300155651587587e-01,1.446796540266952604e+02
