E,Day,Day+Night,Night
0.5150E+01,0.2626E+00,0.2752E+00,0.2881E+00
0.5200E+01,0.2625E+00,0.2752E+00,0.2884E+00
0.5250E+01,0.2623E+00,0.2754E+00,0.2888E+00
0.5300E+01,0.2621E+00,0.2755E+00,0.2892E+00
0.5350E+01,0.2620E+00,0.2756E+00,0.2897E+00
0.5400E+01,0.2618E+00,0.2758E+00,0.2902E+00
0.5450E+01,0.2617E+00,0.2759E+00,0.2906E+00
0.5500E+01,0.2615E+00,0.2761E+00,0.2910E+00
0.5550E+01,0.2614E+00,0.2762E+00,0.2914E+00
0.5600E+01,0.2612E+00,0.2763E+00,0.2917E+00
0.5650E+01,0.2611E+00,0.2764E+00,0.2920E+00
0.5700E+01,0.2610E+00,0.2764E+00,0.2923E+00
0.5750E+01,0.2609E+00,0.2765E+00,0.2925E+00
0.5800E+01,0.2607E+00,0.2765E+00,0.2926E+00
0.5850E+01,0.2606E+00,0.2765E+00,0.2927E+00
0.5900E+01,0.2605E+00,0.2764E+00,0.2927E+00
0.5950E+01,0.2604E+00,0.2763E+00,0.2927E+00
0.6000E+01,0.2603E+00,0.2763E+00,0.2926E+00
0.6050E+01,0.2602E+00,0.2762E+00,0.2925E+00
0.6100E+01,0.2601E+00,0.2760E+00,0.2924E+00
0.6150E+01,0.2600E+00,0.2759E+00,0.2923E+00
0.6200E+01,0.2599E+00,0.2758E+00,0.2922E+00
0.6250E+01,0.2598E+00,0.2757E+00,0.2921E+00
0.6300E+01,0.2597E+00,0.2757E+00,0.2920E+00
0.6350E+01,0.2596E+00,0.2756E+00,0.2920E+00
0.6400E+01,0.2595E+00,0.2756E+00,0.2920E+00
0.6450E+01,0.2594E+00,0.2756E+00,0.2921E+00
0.6500E+01,0.2593E+00,0.2756E+00,0.2922E+00
0.6550E+01,0.2592E+00,0.2756E+00,0.2923E+00
0.6600E+01,0.2592E+00,0.2757E+00,0.2925E+00
0.6650E+01,0.2591E+00,0.2757E+00,0.2928E+00
0.6700E+01,0.2590E+00,0.2758E+00,0.2930E+00
0.6750E+01,0.2589E+00,0.2759E+00,0.2933E+00
0.6800E+01,0.2589E+00,0.2761E+00,0.2937E+00
0.6850E+01,0.2588E+00,0.2762E+00,0.2941E+00
0.6900E+01,0.2587E+00,0.2764E+00,0.2945E+00
0.6950E+01,0.2587E+00,0.2766E+00,0.2949E+00
0.7000E+01,0.2586E+00,0.2768E+00,0.2953E+00
0.7050E+01,0.2585E+00,0.2770E+00,0.2958E+00
0.7100E+01,0.2585E+00,0.2772E+00,0.2963E+00
0.7150E+01,0.2584E+00,0.2774E+00,0.2968E+00
0.7200E+01,0.2583E+00,0.2776E+00,0.2973E+00
0.7250E+01,0.2583E+00,0.2778E+00,0.2977E+00
0.7300E+01,0.2582E+00,0.2780E+00,0.2982E+00
0.7350E+01,0.2582E+00,0.2782E+00,0.2987E+00
0.7400E+01,0.2581E+00,0.2785E+00,0.2992E+00
0.7450E+01,0.2581E+00,0.2787E+00,0.2996E+00
0.7500E+01,0.2580E+00,0.2788E+00,0.3001E+00
0.7550E+01,0.2580E+00,0.2790E+00,0.3005E+00
0.7600E+01,0.2579E+00,0.2792E+00,0.3009E+00
0.7650E+01,0.2578E+00,0.2793E+00,0.3012E+00
0.7700E+01,0.2578E+00,0.2795E+00,0.3015E+00
0.7750E+01,0.2578E+00,0.2796E+00,0.3018E+00
0.7800E+01,0.2577E+00,0.2797E+00,0.3021E+00
0.7850E+01,0.2577E+00,0.2798E+00,0.3023E+00
0.7900E+01,0.2576E+00,0.2799E+00,0.3025E+00
0.7950E+01,0.2576E+00,0.2799E+00,0.3026E+00
0.8000E+01,0.2575E+00,0.2799E+00,0.3027E+00
0.8050E+01,0.2575E+00,0.2799E+00,0.3027E+00
0.8100E+01,0.2574E+00,0.2799E+00,0.3027E+00
0.8150E+01,0.2574E+00,0.2798E+00,0.3027E+00
0.8200E+01,0.2574E+00,0.2798E+00,0.3026E+00
0.8250E+01,0.2573E+00,0.2797E+00,0.3025E+00
0.8300E+01,0.2573E+00,0.2797E+00,0.3024E+00
0.8350E+01,0.2572E+00,0.2796E+00,0.3023E+00
0.8400E+01,0.2572E+00,0.2795E+00,0.3023E+00
0.8450E+01,0.2572E+00,0.2795E+00,0.3022E+00
0.8500E+01,0.2571E+00,0.2794E+00,0.3021E+00
0.8550E+01,0.2571E+00,0.2794E+00,0.3021E+00
0.8600E+01,0.2571E+00,0.2794E+00,0.3021E+00
0.8650E+01,0.2570E+00,0.2794E+00,0.3022E+00
0.8700E+01,0.2570E+00,0.2794E+00,0.3022E+00
0.8750E+01,0.2570E+00,0.2795E+00,0.3024E+00
0.8800E+01,0.2569E+00,0.2795E+00,0.3025E+00
0.8850E+01,0.2569E+00,0.2796E+00,0.3027E+00
0.8900E+01,0.2569E+00,0.2797E+00,0.3029E+00
0.8950E+01,0.2568E+00,0.2798E+00,0.3031E+00
0.9000E+01,0.2568E+00,0.2799E+00,0.3033E+00
0.9050E+01,0.2568E+00,0.2799E+00,0.3035E+00
0.9100E+01,0.2568E+00,0.2800E+00,0.3037E+00
0.9150E+01,0.2567E+00,0.2801E+00,0.3039E+00
0.9200E+01,0.2567E+00,0.2802E+00,0.3041E+00
0.9250E+01,0.2567E+00,0.2803E+00,0.3043E+00
0.9300E+01,0.2566E+00,0.2804E+00,0.3045E+00
0.9350E+01,0.2566E+00,0.2804E+00,0.3046E+00
0.9400E+01,0.2566E+00,0.2805E+00,0.3047E+00
0.9450E+01,0.2566E+00,0.2805E+00,0.3048E+00
0.9500E+01,0.2565E+00,0.2805E+00,0.3049E+00
0.9550E+01,0.2565E+00,0.2806E+00,0.3050E+00
0.9600E+01,0.2565E+00,0.2806E+00,0.3051E+00
0.9650E+01,0.2565E+00,0.2807E+00,0.3052E+00
0.9700E+01,0.2564E+00,0.2807E+00,0.3054E+00
0.9750E+01,0.2564E+00,0.2808E+00,0.3056E+00
0.9800E+01,0.2564E+00,0.2809E+00,0.3058E+00
0.9850E+01,0.2564E+00,0.2810E+00,0.3060E+00
0.9900E+01,0.2564E+00,0.2811E+00,0.3063E+00
0.9950E+01,0.2563E+00,0.2813E+00,0.3067E+00
0.1000E+02,0.2563E+00,0.2815E+00,0.3071E+00
0.1005E+02,0.2563E+00,0.2817E+00,0.3076E+00
0.1010E+02,0.2563E+00,0.2820E+00,0.3081E+00
0.1015E+02,0.2563E+00,0.2823E+00,0.3088E+00
0.1020E+02,0.2562E+00,0.2826E+00,0.3095E+00
0.1025E+02,0.2562E+00,0.2830E+00,0.3102E+00
0.1030E+02,0.2562E+00,0.2834E+00,0.3109E+00
0.1035E+02,0.2562E+00,0.2837E+00,0.3117E+00
0.1040E+02,0.2562E+00,0.2841E+00,0.3125E+00
0.1045E+02,0.2561E+00,0.2845E+00,0.3133E+00
0.1050E+02,0.2561E+00,0.2849E+00,0.3141E+00
0.1055E+02,0.2561E+00,0.2853E+00,0.3149E+00
0.1060E+02,0.2561E+00,0.2857E+00,0.3157E+00
0.1065E+02,0.2561E+00,0.2860E+00,0.3164E+00
0.1070E+02,0.2561E+00,0.2864E+00,0.3171E+00
0.1075E+02,0.2560E+00,0.2867E+00,0.3178E+00
0.1080E+02,0.2560E+00,0.2870E+00,0.3183E+00
0.1085E+02,0.2560E+00,0.2872E+00,0.3189E+00
0.1090E+02,0.2560E+00,0.2874E+00,0.3193E+00
0.1095E+02,0.2560E+00,0.2876E+00,0.3197E+00
0.1100E+02,0.2560E+00,0.2878E+00,0.3200E+00
0.1105E+02,0.2559E+00,0.2879E+00,0.3203E+00
0.1110E+02,0.2559E+00,0.2880E+00,0.3205E+00
0.1115E+02,0.2559E+00,0.2881E+00,0.3206E+00
0.1120E+02,0.2559E+00,0.2881E+00,0.3208E+00
0.1125E+02,0.2559E+00,0.2882E+00,0.3209E+00
0.1130E+02,0.2559E+00,0.2882E+00,0.3210E+00
0.1135E+02,0.2558E+00,0.2883E+00,0.3211E+00
0.1140E+02,0.2558E+00,0.2883E+00,0.3212E+00
0.1145E+02,0.2558E+00,0.2883E+00,0.3213E+00
0.1150E+02,0.2558E+00,0.2884E+00,0.3214E+00
0.1155E+02,0.2558E+00,0.2884E+00,0.3215E+00
0.1160E+02,0.2558E+00,0.2885E+00,0.3216E+00
0.1165E+02,0.2558E+00,0.2886E+00,0.3218E+00
0.1170E+02,0.2558E+00,0.2887E+00,0.3220E+00
0.1175E+02,0.2557E+00,0.2888E+00,0.3223E+00
0.1180E+02,0.2557E+00,0.2890E+00,0.3226E+00
0.1185E+02,0.2557E+00,0.2891E+00,0.3230E+00
0.1190E+02,0.2557E+00,0.2893E+00,0.3234E+00
0.1195E+02,0.2557E+00,0.2895E+00,0.3238E+00
0.1200E+02,0.2557E+00,0.2898E+00,0.3242E+00
0.1205E+02,0.2557E+00,0.2900E+00,0.3247E+00
0.1210E+02,0.2557E+00,0.2902E+00,0.3252E+00
0.1215E+02,0.2556E+00,0.2904E+00,0.3256E+00
0.1220E+02,0.2556E+00,0.2907E+00,0.3261E+00
0.1225E+02,0.2556E+00,0.2909E+00,0.3266E+00
0.1230E+02,0.2556E+00,0.2911E+00,0.3271E+00
0.1235E+02,0.2556E+00,0.2914E+00,0.3275E+00
0.1240E+02,0.2556E+00,0.2916E+00,0.3280E+00
0.1245E+02,0.2556E+00,0.2918E+00,0.3284E+00
0.1250E+02,0.2556E+00,0.2920E+00,0.3288E+00
0.1255E+02,0.2556E+00,0.2921E+00,0.3291E+00
0.1260E+02,0.2555E+00,0.2923E+00,0.3294E+00
0.1265E+02,0.2555E+00,0.2924E+00,0.3297E+00
0.1270E+02,0.2555E+00,0.2925E+00,0.3299E+00
0.1275E+02,0.2555E+00,0.2926E+00,0.3301E+00
0.1280E+02,0.2555E+00,0.2927E+00,0.3302E+00
0.1285E+02,0.2555E+00,0.2927E+00,0.3303E+00
0.1290E+02,0.2555E+00,0.2927E+00,0.3304E+00
0.1295E+02,0.2555E+00,0.2927E+00,0.3304E+00
0.1300E+02,0.2555E+00,0.2927E+00,0.3304E+00
0.1305E+02,0.2555E+00,0.2927E+00,0.3304E+00
0.1310E+02,0.2555E+00,0.2927E+00,0.3303E+00
0.1315E+02,0.2554E+00,0.2926E+00,0.3303E+00
0.1320E+02,0.2554E+00,0.2926E+00,0.3302E+00
0.1325E+02,0.2554E+00,0.2925E+00,0.3301E+00
0.1330E+02,0.2554E+00,0.2925E+00,0.3299E+00
0.1335E+02,0.2554E+00,0.2924E+00,0.3298E+00
0.1340E+02,0.2554E+00,0.2923E+00,0.3297E+00
0.1345E+02,0.2554E+00,0.2923E+00,0.3295E+00
0.1350E+02,0.2554E+00,0.2922E+00,0.3294E+00
0.1355E+02,0.2554E+00,0.2921E+00,0.3293E+00
0.1360E+02,0.2554E+00,0.2921E+00,0.3291E+00
0.1365E+02,0.2554E+00,0.2920E+00,0.3290E+00
0.1370E+02,0.2554E+00,0.2919E+00,0.3289E+00
0.1375E+02,0.2553E+00,0.2919E+00,0.3288E+00
0.1380E+02,0.2553E+00,0.2918E+00,0.3287E+00
0.1385E+02,0.2553E+00,0.2918E+00,0.3287E+00
0.1390E+02,0.2553E+00,0.2918E+00,0.3286E+00
0.1395E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1400E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1405E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1410E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1415E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1420E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1425E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1430E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1435E+02,0.2553E+00,0.2917E+00,0.3285E+00
0.1440E+02,0.2553E+00,0.2917E+00,0.3286E+00
0.1445E+02,0.2552E+00,0.2917E+00,0.3287E+00
0.1450E+02,0.2552E+00,0.2918E+00,0.3287E+00
0.1455E+02,0.2552E+00,0.2918E+00,0.3288E+00
0.1460E+02,0.2552E+00,0.2919E+00,0.3289E+00
0.1465E+02,0.2552E+00,0.2919E+00,0.3290E+00
0.1470E+02,0.2552E+00,0.2920E+00,0.3291E+00
0.1475E+02,0.2552E+00,0.2920E+00,0.3292E+00
0.1480E+02,0.2552E+00,0.2921E+00,0.3294E+00
0.1485E+02,0.2552E+00,0.2922E+00,0.3295E+00
0.1490E+02,0.2552E+00,0.2922E+00,0.3297E+00
0.1495E+02,0.2552E+00,0.2923E+00,0.3299E+00
0.1500E+02,0.2552E+00,0.2924E+00,0.3300E+00
0.1505E+02,0.2552E+00,0.2925E+00,0.3302E+00
