energy,sigma_m2,results,lambda,error1,error2,rate,T_e
10.92,7.790451828332367e-34,0.2507747031685363,0.0536928,0.0501849,0.0570589,13.633117093976624,10.92
10.94,7.807405287146876e-34,0.2507695344563579,0.0531859,0.0496712,0.0565605,13.53351946098395,10.94
10.96,7.824355841668962e-34,0.2507608770408093,0.0526778,0.0491576,0.0560615,13.432867890303985,10.96
10.98,7.841303500933167e-34,0.2507681301313573,0.0521722,0.0486499,0.0555601,13.333141764968298,10.98
11.0,7.858248273963688e-34,0.2507565719304258,0.0516698,0.0481424,0.0550646,13.232673328266738,11.0
11.02,7.875190169773933e-34,0.2507557402783033,0.0511672,0.0476349,0.0545691,13.13216486775986,11.02
11.04,7.892129197365825e-34,0.2507587738067572,0.0506645,0.0471267,0.0540735,13.031272476002618,11.04
11.06,7.909065365729416e-34,0.2507459188866227,0.05016,0.04662,0.0535772,12.928534743403057,11.06
11.08,7.925998683843013e-34,0.2507508411796144,0.0496601,0.0461183,0.0530792,12.827343513434796,11.08
11.1,7.943110621548075e-34,0.2507478336674251,0.0491624,0.0456171,0.0525872,12.726049774354102,11.1
11.12,7.960039390888806e-34,0.2507374527126119,0.0486647,0.0451158,0.0520952,12.62354166431543,11.12
11.14,7.976965336530142e-34,0.2507449137714031,0.0481668,0.0446136,0.051603,12.521327439802437,11.14
11.16,7.993888467389749e-34,0.2507364385121632,0.0476666,0.0441148,0.0511102,12.41716504620847,11.16
11.18,8.010808792371183e-34,0.2507307886887283,0.0471737,0.04362,0.0506167,12.314498052509911,11.18
11.2,8.027726320364003e-34,0.2507374810805017,0.0466814,0.0431257,0.0501287,12.212045958967146,11.2
11.22,8.04464106024328e-34,0.250725964293921,0.0461893,0.0426316,0.0496408,12.108214419935392,11.22
11.24,8.061553020869181e-34,0.250724743259811,0.045697,0.0421359,0.0491528,12.00428618555052,11.24
11.26,8.078462211086698e-34,0.2507290712778057,0.0452031,0.041646,0.0486641,11.899654450369587,11.26
11.28,8.095368639725233e-34,0.2507163551148927,0.0447166,0.041159,0.0481759,11.795621035677874,11.28
11.3,8.112272315598883e-34,0.2507185385647489,0.0442306,0.0406725,0.0476927,11.691885136879549,11.3
