energy,sigma_e_eV2,sigma_x_eV2
1.04,1.385013817964165e-41,2.950020793975953e-42
1.06,1.4245488375450829e-41,3.024690115337295e-42
1.08,1.4642563996208672e-41,3.099501832087753e-42
1.1,1.5041297055363345e-41,3.174449052673892e-42
1.12,1.5441622896554524e-41,3.249525300775791e-42
1.14,1.58434800068601e-41,3.3247244864633887e-42
1.16,1.6246809841789823e-41,3.400040879655311e-42
1.18,1.665155666120103e-41,3.4754690856687195e-42
1.2,1.7057667375375814e-41,3.551004022670948e-42
1.22,1.7465091400558364e-41,3.626640900863206e-42
1.24,1.7873780523304512e-41,3.702375203243913e-42
1.26,1.8283688773045195e-41,3.778202667814547e-42
1.28,1.8694772302310536e-41,3.854119271104417e-42
1.3,1.9106989274102628e-41,3.930121212902868e-42
1.32,1.9520299755942849e-41,4.006204902098092e-42
1.34,1.9934665620154838e-41,4.0823669435313664e-42
1.36,2.035005044997579e-41,4.15860412578401e-42
1.38,2.0766419451118404e-41,4.234913409822019e-42
1.4,2.1183739368432962e-41,4.3112919184302216e-42
1.42,2.1601978407343676e-41,4.3877369263738566e-42
1.44,2.2021106159756962e-41,4.464245851231097e-42
1.46,2.244109353415976e-41,4.540816244844919e-42
1.48,2.286191265737803e-41,4.617445778485488e-42
1.5,2.3283536856578545e-41,4.694132244837336e-42
1.52,2.370594067423698e-41,4.7708735667077964e-42
1.54,2.4129099658957607e-41,4.847667757867332e-42
1.56,2.455299038107563e-41,4.924512931465865e-42
1.58,2.4977590382923105e-41,5.0014072943275864e-42
1.6,2.5402878131796885e-41,5.078349141610271e-42
1.62,2.5828832975466385e-41,5.1553368518031034e-42
1.64,2.625543510006978e-41,5.2323688820390545e-42
1.66,2.668266549025713e-41,5.309443763699778e-42
1.68,2.711050589144838e-41,5.386560098292749e-42
1.7,2.753893877408251e-41,5.463716553581888e-42
1.72,2.7967947299742304e-41,5.5409118599544476e-42
1.74,2.839751528904644e-41,5.618144807008125e-42
1.76,2.882762719120751e-41,5.69541424034373e-42
1.78,2.925826805516113e-41,5.772719058549686e-42
1.8,2.9689423502176917e-41,5.850058210365762e-42
1.82,3.0121079699867935e-41,5.927430692014281e-42
1.84,3.0553223337520335e-41,6.004835544687979e-42
1.86,3.0985841602669425e-41,6.082271852184397e-42
1.88,3.1418922158853417e-41,6.159738738677427e-42
1.9,3.1852453124479675e-41,6.237235366617383e-42
1.92,3.228642305274268e-41,6.314760934751358e-42
1.94,3.2720820912536284e-41,6.392314676256486e-42
1.96,3.3155636070306436e-41,6.469895856978988e-42
1.98,3.359085827279352e-41,6.547503773772514e-42
2.0,3.4026477630616603e-41,6.625137752929659e-42
2.02,3.4462484602654653e-41,6.702797148700993e-42
2.04,3.489886998118237e-41,6.780481341896278e-42
2.06,3.53356248777206e-41,6.858189738562937e-42
2.08,3.577274070956392e-41,6.935921768737126e-42
2.1,3.6210209186949804e-41,7.01367688526311e-42
2.12,3.6648022300835876e-41,7.091454562676876e-42
2.14,3.708617231125373e-41,7.169254296150174e-42
2.16,3.7524651736209754e-41,7.247075600491526e-42
2.18,3.7963453341104316e-41,7.324918009200792e-42
2.2,3.840257012864343e-41,7.402781073574244e-42
2.22,3.8841995256976725e-41,7.480664347087812e-42
2.24,3.928172222226135e-41,7.55856742381054e-42
2.26,3.9721744718073597e-41,7.636489910662236e-42
2.28,4.0162056603338445e-41,7.714431421857019e-42
2.3,4.0602651930518235e-41,7.792391585617835e-42
2.32,4.104352493798239e-41,7.870370043526354e-42
2.34,4.1484670042721526e-41,7.948366449906727e-42
2.36,4.1926081833388923e-41,8.02638047124123e-42
