energy,sigma_e_eV2,sigma_x_eV2
10.3,2.2381139410440994e-40,3.952015552881993e-41
10.32,2.2427599436258884e-40,3.9600107534228613e-41
10.34,2.2474060999760874e-40,3.968006127761451e-41
10.36,2.2520524095939235e-40,3.976001675406473e-41
10.38,2.256698871981339e-40,3.9839973958689844e-41
10.4,2.2613454866429664e-40,3.9919932886623703e-41
10.42,2.265992253086117e-40,3.999989353302335e-41
10.44,2.2706391708207513e-40,4.0079855893068814e-41
10.46,2.275286239359463e-40,4.015981996196294e-41
10.48,2.279933458217459e-40,4.023978573493124e-41
10.5,2.284580826912542e-40,4.031975320722182e-41
10.52,2.2892283449650856e-40,4.0399722374105114e-41
10.54,2.2938760118980213e-40,4.0479693230873784e-41
10.56,2.2985238272368158e-40,4.0559665772842575e-41
10.58,2.3031717905094506e-40,4.063963999534818e-41
10.6,2.3078199012464076e-40,4.0719615893749015e-41
10.62,2.3124681589806476e-40,4.079959346342522e-41
10.64,2.3171165632475937e-40,4.087957269977834e-41
10.66,2.3217651135851116e-40,4.0959553598231353e-41
10.68,2.3264138095334925e-40,4.1039536154228365e-41
10.7,2.331062650635435e-40,4.1119520363234596e-41
10.72,2.335711636436028e-40,4.119950622073622e-41
10.74,2.3403607664827324e-40,4.127949372224013e-41
10.76,2.345010040325365e-40,4.1359482863273937e-41
10.78,2.3496594575160785e-40,4.143947363938575e-41
10.8,2.3543090176093494e-40,4.1519466046144073e-41
10.82,2.3589587201581853e-40,4.15994600790691e-41
10.84,2.3636085647292024e-40,4.167945573390693e-41
10.86,2.3682585508799613e-40,4.175945300621775e-41
10.88,2.372908678174054e-40,4.183945189165028e-41
10.9,2.37755894617731e-40,4.1919452385872966e-41
10.92,2.3822093544577833e-40,4.1999454484573864e-41
10.94,2.386859902585663e-40,4.207945818345911e-41
10.96,2.3915105901335385e-40,4.215946347825839e-41
10.98,2.396161416675966e-40,4.223947036471643e-41
11.0,2.4008123817897283e-40,4.231947883859842e-41
11.02,2.4054634850537557e-40,4.239948889568861e-41
11.04,2.410114726052708e-40,4.247950053185545e-41
11.06,2.4147661043625307e-40,4.255951374278953e-41
11.08,2.4194176195721176e-40,4.2639528524397054e-41
11.1,2.424069271268825e-40,4.2719544872537003e-41
11.12,2.4287210590420772e-40,4.2799562783086687e-41
11.14,2.4333729824833565e-40,4.287958225194174e-41
11.16,2.438025041186181e-40,4.29596032750159e-41
11.18,2.4426772347461003e-40,4.303962584824095e-41
11.2,2.447329562760674e-40,4.311964996756668e-41
11.22,2.4519820248294616e-40,4.319967562896064e-41
11.24,2.456634620554005e-40,4.327970282840806e-41
11.26,2.4612873495378174e-40,4.335973156191182e-41
11.28,2.4659402113863724e-40,4.343976182549226e-41
11.3,2.4705932050334994e-40,4.35197936038362e-41
11.32,2.47524632885345e-40,4.3599826872187997e-41
11.34,2.47989958441691e-40,4.36798616596407e-41
11.36,2.4845529713359685e-40,4.37598979622652e-41
11.38,2.4892064892246273e-40,4.38399357761498e-41
11.4,2.49386013769879e-40,4.391997509739998e-41
11.42,2.4985139163762454e-40,4.4000015922138345e-41
11.44,2.503167824876658e-40,4.4080058246504535e-41
11.46,2.5078218628215506e-40,4.4160102066655057e-41
11.48,2.5124760298342973e-40,4.424014737876324e-41
11.5,2.5171303255401044e-40,4.432019417901906e-41
11.52,2.5217847495660018e-40,4.4400242463629095e-41
11.54,2.5264393015408286e-40,4.448029222881638e-41
11.56,2.531093981095224e-40,4.456034347082034e-41
11.58,2.535748787861608e-40,4.46403961858966e-41
11.6,2.5404037214741773e-40,4.4720450370317033e-41
11.62,2.5450587815688868e-40,4.480050602036951e-41
11.64,2.5497139677834432e-40,4.4880563132357875e-41
11.66,2.554369279757287e-40,4.4960621702601836e-41
11.68,2.559024717131585e-40,4.5040681727436836e-41
11.7,2.5636802795492183e-40,4.5120743203214017e-41
11.72,2.568335966654769e-40,4.5200806126300033e-41
11.74,2.57299177809451e-40,4.528087049307705e-41
11.76,2.577647713516391e-40,4.5360936299942563e-41
11.78,2.582303772570034e-40,4.544100354330937e-41
11.8,2.5869599549067147e-40,4.552107221960547e-41
11.82,2.5916162601793536e-40,4.5601142325273853e-41
11.84,2.596272688042508e-40,4.568121385677262e-41
11.86,2.6009292381523566e-40,4.5761286810574706e-41
11.88,2.6055859101666935e-40,4.5841361183167895e-41
11.9,2.6102427037449126e-40,4.592143697105464e-41
11.92,2.614899618548e-40,4.600151417075208e-41
11.94,2.6195566542385236e-40,4.608159277879187e-41
11.96,2.6242138104806226e-40,4.616167279172011e-41
11.98,2.628871086939996e-40,4.62417542060973e-41
12.0,2.6335284832838903e-40,4.632183701849819e-41
12.02,2.638185999181096e-40,4.640192122551173e-41
12.04,2.6428436343019328e-40,4.648200682374102e-41
12.06,2.647501388318236e-40,4.656209380980312e-41
12.08,2.6521592608991014e-40,4.664218218025982e-41
12.1,2.656817251727897e-40,4.672227193189467e-41
12.12,2.6614753604766984e-40,4.680236306129693e-41
12.14,2.666133586823327e-40,4.688245556513901e-41
12.16,2.6707919304470727e-40,4.696254944010683e-41
12.18,2.675450391028691e-40,4.704264468289993e-41
12.2,2.680108968250386e-40,4.712274129023125e-41
12.22,2.684767661795808e-40,4.720283925882716e-41
12.24,2.6894264713500385e-40,4.728293858542725e-41
12.26,2.694085396599586e-40,4.73630392667844e-41
12.28,2.6987444372323743e-40,4.744314129966456e-41
12.3,2.7034035929377337e-40,4.752324468084682e-41
12.32,2.70806286341046e-40,4.760334940718941e-41
12.34,2.712722248334508e-40,4.768345547536447e-41
12.36,2.717381747407466e-40,4.776356288225639e-41
12.38,2.722041360324202e-40,4.78436716246957e-41
12.4,2.726701086780946e-40,4.792378169952562e-41
12.42,2.7313609264752824e-40,4.800389310360205e-41
12.44,2.7360208791061425e-40,4.808400583379336e-41
12.46,2.7406809443737936e-40,4.816411988698042e-41
12.48,2.745341121979832e-40,4.82442352600565e-41
12.5,2.750001411627173e-40,4.832435194992722e-41
12.52,2.7546618130200478e-40,4.840446995351043e-41
12.54,2.7593223258639902e-40,4.848458926773619e-41
12.56,2.763982949865827e-40,4.856470988954664e-41
12.58,2.768643684733677e-40,4.864483181589605e-41
12.6,2.7733045301769395e-40,4.872495504375058e-41
12.62,2.7779654859062804e-40,4.880507957008838e-41
12.64,2.782626551633636e-40,4.88852053918994e-41
12.66,2.7872877270721975e-40,4.896533250618542e-41
12.68,2.7919490119364018e-40,4.904546090995988e-41
12.7,2.7966104059419318e-40,4.912559060024791e-41
12.72,2.801271908805701e-40,4.920572157408621e-41
12.74,2.8059335202458483e-40,4.9285853828523e-41
12.76,2.810595239981734e-40,4.936598736061797e-41
12.78,2.8152570677339277e-40,4.94461221674422e-41
12.8,2.8199190032242046e-40,4.95262582460781e-41
12.82,2.8245810461755327e-40,4.96063955936193e-41
12.84,2.8292431963120737e-40,4.968653420717072e-41
12.86,2.833905453359169e-40,4.976667408384833e-41
12.88,2.838567817043336e-40,4.98468152207793e-41
12.9,2.8432302870922587e-40,4.992695761510166e-41
12.92,2.8478928632347835e-40,5.000710126396456e-41
12.94,2.852555545200911e-40,5.008724616452797e-41
12.96,2.857218332721788e-40,5.01673923139627e-41
12.98,2.8618812255297013e-40,5.024753970945034e-41
13.0,2.866544223358071e-40,5.032768834818324e-41
13.02,2.871207325941447e-40,5.040783822736439e-41
13.04,2.875870533015495e-40,5.048798934420737e-41
13.06,2.8805338443169953e-40,5.056814169593635e-41
13.08,2.8851972595838373e-40,5.064829527978597e-41
13.1,2.8898607785550084e-40,5.072845009300127e-41
13.12,2.8945244009705897e-40,5.080860613283776e-41
13.14,2.899188126571752e-40,5.08887633965612e-41
13.16,2.9038519551007425e-40,5.096892188144762e-41
13.18,2.9085158863008888e-40,5.104908158478329e-41
13.2,2.913179919916582e-40,5.112924250386465e-41
13.22,2.917844055693279e-40,5.120940463599821e-41
13.24,2.922508292569922e-40,5.128956796443747e-41
13.26,2.927172630625431e-40,5.136973249228039e-41
13.28,2.931837070106128e-40,5.14498982255311e-41
13.3,2.936501610761267e-40,5.153006516152919e-41
13.32,2.941166252341138e-40,5.161023329762418e-41
13.34,2.945830994597066e-40,5.16904026311756e-41
13.36,2.9504958372813995e-40,5.177057315955273e-41
13.38,2.955160780147511e-40,5.185074488013468e-41
13.4,2.9598258229453007e-40,5.193091779022591e-41
13.42,2.964490965439137e-40,5.201109188739399e-41
13.44,2.969156207380928e-40,5.209126716896255e-41
13.46,2.973821548528064e-40,5.217144363234941e-41
13.48,2.9784869886389315e-40,5.225162127498192e-41
13.5,2.9831525274729023e-40,5.23318000942969e-41
13.52,2.9878181647903224e-40,5.241198008774062e-41
13.54,2.9924839003525177e-40,5.249216125276875e-41
13.56,2.9971497339217812e-40,5.25723435868463e-41
13.58,3.0018156652613684e-40,5.265252708744754e-41
13.6,3.00648169413549e-40,5.273271175205601e-41
13.62,3.011147820309312e-40,5.281289757816443e-41
13.64,3.0158140435489466e-40,5.289308456327466e-41
13.66,3.0204803636214467e-40,5.29732727048977e-41
13.68,3.0251467802990835e-40,5.305346200063416e-41
13.7,3.0298132933421847e-40,5.313365244785134e-41
13.72,3.0344799025249008e-40,5.321384404416826e-41
13.74,3.0391466076179963e-40,5.329403678713177e-41
13.76,3.043813408393148e-40,5.337423067429759e-41
13.78,3.0484803046229456e-40,5.345442570323029e-41
13.8,3.053147296080882e-40,5.353462187150314e-41
13.82,3.057814382541348e-40,5.361481917669818e-41
13.84,3.0624815637796343e-40,5.369501761640611e-41
13.86,3.067148839571913e-40,5.377521718822629e-41
13.88,3.0718162096952476e-40,5.385541788976664e-41
13.9,3.0764836739275764e-40,5.393561971864358e-41
13.92,3.0811512320477156e-40,5.401582267248211e-41
13.94,3.0858188838353467e-40,5.409602674891567e-41
13.96,3.0904866290710234e-40,5.417623194558608e-41
13.98,3.095154467536152e-40,5.425643826014352e-41
14.0,3.0998223990129982e-40,5.433664569024655e-41
14.02,3.104490423284678e-40,5.441685423356202e-41
14.04,3.109158540135154e-40,5.449706388776491e-41
14.06,3.113826749349227e-40,5.457727465053856e-41
14.08,3.118495050712536e-40,5.465748651957432e-41
14.1,3.1231634440115553e-40,5.473769949257177e-41
14.12,3.1278319290335815e-40,5.481791356723851e-41
14.14,3.13250050556674e-40,5.489812874129021e-41
14.16,3.137169173399968e-40,5.497834501245048e-41
14.18,3.1418379323230225e-40,5.505856237845094e-41
14.2,3.1465067821264674e-40,5.513878083703111e-41
14.22,3.151175722601673e-40,5.52190003859384e-41
14.24,3.1558447535408087e-40,5.529922102292803e-41
14.26,3.1605138747368434e-40,5.537944274576301e-41
14.28,3.165183085983535e-40,5.545966555221415e-41
14.3,3.1698523870754337e-40,5.553988944005995e-41
14.32,3.1745217778078673e-40,5.562011440708662e-41
14.34,3.1791912579769494e-40,5.570034045108795e-41
14.36,3.1838608273795648e-40,5.578056756986546e-41
14.38,3.1885304858133735e-40,5.58607957612281e-41
14.4,3.193200233076795e-40,5.594102502299243e-41
14.42,3.1978700689690225e-40,5.602125535298248e-41
14.44,3.202539993289999e-40,5.610148674902975e-41
14.46,3.207210005840427e-40,5.618171920897319e-41
14.48,3.2118801064217588e-40,5.626195273065906e-41
14.5,3.2165502948361937e-40,5.634218731194103e-41
14.52,3.221220570886673e-40,5.642242295068007e-41
14.54,3.2258909343768796e-40,5.650265964474442e-41
14.56,3.2305613851112287e-40,5.658289739200956e-41
14.58,3.235231922894868e-40,5.66631361903582e-41
14.6,3.2399025475336706e-40,5.674337603768017e-41
14.62,3.2445732588342395e-40,5.682361693187252e-41
14.64,3.24924405660389e-40,5.690385887083933e-41
14.66,3.2539149406506556e-40,5.698410185249175e-41
14.68,3.2585859107832856e-40,5.706434587474806e-41
14.7,3.263256966811234e-40,5.71445909355334e-41
14.72,3.2679281085446617e-40,5.722483703278002e-41
14.74,3.2725993357944284e-40,5.730508416442695e-41
14.76,3.2772706483720944e-40,5.738533232842028e-41
14.78,3.2819420460899105e-40,5.746558152271283e-41
14.8,3.286613528760823e-40,5.754583174526435e-41
14.82,3.29128509619846e-40,5.76260829940414e-41
14.84,3.2959567482171332e-40,5.770633526701718e-41
14.86,3.3006284846318387e-40,5.77865885621718e-41
14.88,3.305300305258245e-40,5.786684287749198e-41
14.9,3.3099722099126917e-40,5.794709821097112e-41
14.92,3.314644198412192e-40,5.802735456060927e-41
14.94,3.3193162705744227e-40,5.810761192441311e-41
14.96,3.3239884262177228e-40,5.818787030039587e-41
14.98,3.3286606651610903e-40,5.826812968657739e-41
15.0,3.333332987224182e-40,5.834839008098396e-41
15.02,3.3380053922273015e-40,5.842865148164836e-41
15.04,3.3426778799914072e-40,5.850891388660991e-41
15.06,3.347350450338099e-40,5.858917729391428e-41
15.08,3.3520231030896213e-40,5.866944170161354e-41
15.1,3.3566958380688583e-40,5.874970710776623e-41
15.12,3.361368655099327e-40,5.882997351043706e-41
15.14,3.366041554005182e-40,5.891024090769719e-41
15.16,3.3707145346112045e-40,5.8990509297624e-41
15.18,3.375387596742801e-40,5.90707786783011e-41
15.2,3.380060740226007e-40,5.915104904781841e-41
15.22,3.3847339648874694e-40,5.923132040427196e-41
15.24,3.38940727055446e-40,5.931159274576396e-41
15.26,3.394080657054861e-40,5.939186607040281e-41
15.28,3.398754124217166e-40,5.947214037630297e-41
15.3,3.4034276718704757e-40,5.955241566158496e-41
15.32,3.408101299844498e-40,5.963269192437542e-41
15.34,3.412775007969541e-40,5.971296916280692e-41
15.36,3.4174487960765104e-40,5.979324737501815e-41
15.38,3.4221226639969114e-40,5.98735265591537e-41
15.4,3.4267966115628394e-40,5.99538067133641e-41
15.42,3.4314706386069803e-40,6.003408783580577e-41
15.44,3.436144744962606e-40,6.011436992464108e-41
15.46,3.440818930463579e-40,6.019465297803829e-41
15.48,3.4454931949443305e-40,6.027493699417135e-41
15.5,3.450167538239884e-40,6.035522197122021e-41
15.52,3.4548419601858292e-40,6.043550790737046e-41
15.54,3.4595164606182195e-40,6.051579480081172e-41
15.56,3.4641910393740183e-40,6.059608264974468e-41
15.58,3.4688656962904132e-40,6.067637145237037e-41
15.6,3.473540431205275e-40,6.075666120689736e-41
15.62,3.47821524395703e-40,6.083695191153975e-41
15.64,3.48289013438467e-40,6.091724356451741e-41
15.66,3.487565102327736e-40,6.099753616405571e-41
15.68,3.4922401476263277e-40,6.107782970838561e-41
15.7,3.496915270121095e-40,6.11581241957437e-41
15.72,3.501590469653236e-40,6.123841962437202e-41
15.74,3.506265746064491e-40,6.131871599251814e-41
15.76,3.5109410991971485e-40,6.139901329843512e-41
15.78,3.5156165288940335e-40,6.147931154038145e-41
15.8,3.5202920349985127e-40,6.155961071662113e-41
15.82,3.5249676173544813e-40,6.163991082542346e-41
15.84,3.5296432758063744e-40,6.172021186506319e-41
15.86,3.5343190101991533e-40,6.180051383382043e-41
15.88,3.5389948203782224e-40,6.188081672997883e-41
15.9,3.5436707061897677e-40,6.196112055183268e-41
15.92,3.5483466665050033e-40,6.204142528006734e-41
15.94,3.553022701866758e-40,6.212173092554768e-41
15.96,3.557698812419535e-40,6.220203749194167e-41
15.98,3.5623749980111633e-40,6.228234497755641e-41
16.0,3.5670512584899848e-40,6.236265338070407e-41
