energy,Pee_rate
1.277755511022044033e+01,3.226320371307915824e-01
1.281162324649298512e+01,3.225591290607095485e-01
1.284569138276553169e+01,3.224866282703517939e-01
1.287975951903807648e+01,3.224145259963935861e-01
1.291382765531062127e+01,3.223428136659911569e-01
1.294789579158316606e+01,3.222714828967824796e-01
1.298196392785571085e+01,3.222005254968863808e-01
1.301603206412825564e+01,3.221299334649023738e-01
1.305010020040080221e+01,3.220596989899121576e-01
1.308416833667334700e+01,3.219898144514775074e-01
1.311823647294589179e+01,3.219202724196420506e-01
1.315230460921843658e+01,3.218510656549303239e-01
1.318637274549098137e+01,3.217821871083479390e-01
1.322044088176352616e+01,3.217136299213812500e-01
1.325450901803607273e+01,3.216453874259989076e-01
1.328857715430861752e+01,3.215774531446498052e-01
1.332264529058116231e+01,3.215098207902638561e-01
1.335671342685370711e+01,3.214424842662528259e-01
1.339078156312625190e+01,3.213754376665093337e-01
1.342484969939879669e+01,3.213086752754065745e-01
1.345891783567134325e+01,3.212421915677997619e-01
1.349298597194388805e+01,3.211759812090245747e-01
1.352705410821643284e+01,3.211100390548982109e-01
1.356112224448897763e+01,3.210443601517191659e-01
1.359519038076152242e+01,3.209789397362667329e-01
1.362925851703406721e+01,3.209137732358012252e-01
1.366332665330661378e+01,3.208488562680643641e-01
1.369739478957915857e+01,3.207841846412792242e-01
1.373146292585170336e+01,3.207197543541495666e-01
1.376553106212424815e+01,3.206555615958605610e-01
1.379959919839679294e+01,3.205916027460785633e-01
1.383366733466933773e+01,3.205278743749508386e-01
1.386773547094188430e+01,3.204643732431058378e-01
1.390180360721442909e+01,3.204010963016535318e-01
1.393587174348697388e+01,3.203380406921845225e-01
1.396993987975951867e+01,3.202752037467709312e-01
1.400400801603206347e+01,3.202125829879658991e-01
1.403807615230460826e+01,3.201501761288035874e-01
1.407214428857715482e+01,3.200879810727992880e-01
1.410621242484969962e+01,3.200259959139497012e-01
1.414028056112224441e+01,3.199642189367326028e-01
1.417434869739478920e+01,3.199026486161066773e-01
1.420841683366733399e+01,3.198412836175121288e-01
1.424248496993987878e+01,3.197801227968699589e-01
1.427655310621242535e+01,3.197191652005823004e-01
1.431062124248497014e+01,3.196584100655325833e-01
1.434468937875751493e+01,3.195978568190856461e-01
1.437875751503005972e+01,3.195375050790869587e-01
1.441282565130260451e+01,3.194773546538634545e-01
1.444689378757514930e+01,3.194174055422231984e-01
1.448096192384769587e+01,3.193576579334552190e-01
1.451503006012024066e+01,3.192981122073296207e-01
1.454909819639278545e+01,3.192387689340981938e-01
1.458316633266533024e+01,3.191796288744931931e-01
1.461723446893787504e+01,3.191206929797285041e-01
1.465130260521041983e+01,3.190619623914990322e-01
1.468537074148296639e+01,3.190034384419806468e-01
1.471943887775551119e+01,3.189451226538304041e-01
1.475350701402805598e+01,3.188870167401869349e-01
1.478757515030060077e+01,3.188291226046692795e-01
1.482164328657314556e+01,3.187714423413784415e-01
1.485571142284569035e+01,3.187139782348957784e-01
1.488977955911823692e+01,3.186567327602842226e-01
1.492384769539078171e+01,3.185997085830876707e-01
1.495791583166332650e+01,3.185429085593317056e-01
1.499198396793587129e+01,3.184863357355220415e-01
1.502605210420841608e+01,3.184299933486466339e-01
1.506012024048096087e+01,3.183738848261740140e-01
1.509418837675350744e+01,3.183180137860534553e-01
1.512825651302605223e+01,3.182623840367160839e-01
1.516232464929859702e+01,3.182069995770742121e-01
1.519639278557114181e+01,3.181518645965205061e-01
1.523046092184368661e+01,3.180969834749297620e-01
1.526452905811623140e+01,3.180423607826570742e-01
1.529859719438877796e+01,3.179880012805391121e-01
1.533266533066132276e+01,3.179339099198933982e-01
1.536673346693386755e+01,3.178800918425192523e-01
1.540080160320641234e+01,3.178265523806964032e-01
1.543486973947895713e+01,3.177732970571861548e-01
1.546893787575150192e+01,3.177203315852308307e-01
1.550300601202404849e+01,3.176676618685538300e-01
1.553707414829659328e+01,3.176152940013596826e-01
1.557114228456913807e+01,3.175632342683338827e-01
1.560521042084168286e+01,3.175114891446439436e-01
1.563927855711422765e+01,3.174600652959373437e-01
1.567334669338677244e+01,3.174089695783436915e-01
1.570741482965931901e+01,3.173582090384730603e-01
1.574148296593186380e+01,3.173077909134169872e-01
1.577555110220440859e+01,3.172577226307478071e-01
1.580961923847695338e+01,3.172080118085197076e-01
1.584368737474949818e+01,3.171586662552670632e-01
1.587775551102204297e+01,3.171096939700065453e-01
1.591182364729458953e+01,3.170611031422349013e-01
1.594589178356713433e+01,3.170129021519307311e-01
1.597995991983967912e+01,3.169650995695530993e-01
1.601402805611222391e+01,3.169177041560429786e-01
1.604809619238476870e+01,3.168707248628216400e-01
1.608216432865731349e+01,3.168241708317928174e-01
1.611623246492985828e+01,3.167780513953399879e-01
1.615030060120240307e+01,3.167323760763283147e-01
1.618436873747494786e+01,3.166871545881043137e-01
1.621843687374749265e+01,3.166423968344955209e-01
1.625250501002003745e+01,3.165981129098102143e-01
1.628657314629258579e+01,3.165543130988384135e-01
1.632064128256513058e+01,3.165110078768510471e-01
1.635470941883767537e+01,3.164682079096002854e-01
1.638877755511022016e+01,3.164259240533187634e-01
1.642284569138276495e+01,3.163841673547216904e-01
1.645691382765530975e+01,3.163429490510036857e-01
1.649098196392785809e+01,3.163022805698418871e-01
1.652505010020040288e+01,3.162621735293941194e-01
1.655911823647294767e+01,3.162226397382991161e-01
1.659318637274549246e+01,3.161836911956766860e-01
1.662725450901803725e+01,3.161453400911283240e-01
1.666132264529058205e+01,3.161075988047365448e-01
1.669539078156312684e+01,3.160704799070644944e-01
1.672945891783567163e+01,3.160339961591567826e-01
1.676352705410821642e+01,3.159981605125396498e-01
1.679759519038076121e+01,3.159629861092195235e-01
1.683166332665330600e+01,3.159284862816849615e-01
1.686573146292585079e+01,3.158946745529046529e-01
1.689979959919839558e+01,3.158615646363291951e-01
1.693386773547094037e+01,3.158291704358903162e-01
1.696793587174348517e+01,3.157975060460002092e-01
1.700200400801602996e+01,3.157665857515528640e-01
1.703607214428857475e+01,3.157364240279233458e-01
1.707014028056111954e+01,3.157070355409674622e-01
1.710420841683366788e+01,3.156784351470227068e-01
1.713827655310621267e+01,3.156506378929072598e-01
1.717234468937875747e+01,3.156236590159209321e-01
1.720641282565130226e+01,3.155975139438437216e-01
1.724048096192384705e+01,3.155722182949380339e-01
1.727454909819639184e+01,3.155477878779467393e-01
1.730861723446894018e+01,3.155242386920935060e-01
1.734268537074148497e+01,3.155015869270839657e-01
1.737675350701402976e+01,3.154798489631041591e-01
1.741082164328657456e+01,3.154590413708220908e-01
1.744488977955911935e+01,3.154391809113859524e-01
1.747895791583166414e+01,3.154202845364257879e-01
1.751302605210420893e+01,3.154023693880525503e-01
1.754709418837675372e+01,3.153854527988580458e-01
1.758116232464929851e+01,3.153695522919159333e-01
1.761523046092184330e+01,3.153546855807803362e-01
1.764929859719438809e+01,3.153408705694866199e-01
1.768336673346693289e+01,3.153281253525519467e-01
1.771743486973947768e+01,3.153164682149735554e-01
1.775150300601202247e+01,3.153059176322309254e-01
1.778557114228456726e+01,3.152964922702837791e-01
1.781963927855711205e+01,3.152882109855734138e-01
1.785370741482965684e+01,3.152810928250221467e-01
1.788777555110220163e+01,3.152751570260340364e-01
1.792184368737474998e+01,3.152704230164932175e-01
1.795591182364729477e+01,3.152669104147653445e-01
1.798997995991983956e+01,3.152646390296979795e-01
1.802404809619238435e+01,3.152636288606189829e-01
1.805811623246492914e+01,3.152639000973371797e-01
1.809218436873747393e+01,3.152654731201438021e-01
1.812625250501002228e+01,3.152683684998096592e-01
1.816032064128256707e+01,3.152726069975874124e-01
1.819438877755511186e+01,3.152782095652116867e-01
1.822845691382765665e+01,3.152851973448967948e-01
1.826252505010020144e+01,3.152935916693389018e-01
1.829659318637274623e+01,3.153034140617152481e-01
1.833066132264529102e+01,3.153146862356844826e-01
1.836472945891783581e+01,3.153274300953858855e-01
1.839879759519038060e+01,3.153416677354402564e-01
1.843286573146292540e+01,3.153574214409497478e-01
1.846693386773547019e+01,3.153747136874967549e-01
1.850100200400801498e+01,3.153935671411454145e-01
1.853507014028055977e+01,3.154140046584415491e-01
1.856913827655310456e+01,3.154360492864110577e-01
1.860320641282564935e+01,3.154597242625619136e-01
1.863727454909819414e+01,3.154850530148823884e-01
1.867134268537073893e+01,3.155120591618425507e-01
1.870541082164328373e+01,3.155407665123937111e-01
1.873947895791583207e+01,3.155711990659671451e-01
1.877354709418837686e+01,3.156033810124769801e-01
1.880761523046092165e+01,3.156373367323167534e-01
1.884168336673346644e+01,3.156730907963631316e-01
1.887575150300601123e+01,3.157106679659721360e-01
1.890981963927855602e+01,3.157500931929812515e-01
1.894388777555110437e+01,3.157913916197101489e-01
1.897795591182364916e+01,3.158345885789591856e-01
1.901202404809619040e+01,3.158797095940087396e-01
1.904609218436873874e+01,3.159267803786216522e-01
1.908016032064128353e+01,3.159758268370416734e-01
1.911422845691382832e+01,3.160268750639932955e-01
1.914829659318637312e+01,3.160799513446826414e-01
1.918236472945891791e+01,3.161350821547962431e-01
1.921643286573146270e+01,3.161922941605025406e-01
